comparison,fotr_set_size,comparator_set_size,overlap_count,jaccard,interpretation
FOTR selected top20 vs CFD-ranked top20,20,20,9,0.2903,"Orthogonal CFD specificity ranking partially overlaps with FOTR, indicating FOTR is not simply reproducing CFD-only ranking."
FOTR selected top20 vs RS3-ranked top20,20,20,0,0.0,RS3 activity ranking is compared as an orthogonal activity-score check.
FOTR top10 vs CFD-ranked top10,10,10,2,0.1111,Top-10 overlap evaluates whether highest-priority FOTR guides also appear under independent specificity ranking.
FOTR top10 vs RS3-ranked top10,10,10,0,0.0,Top-10 overlap evaluates agreement with independent activity ranking.
