target_gene,guide_id,total_offtarget_hits,db_refined_amr_hits,db_refined_virulence_hits,db_refined_essential_hits,db_refined_mobile_hits,db_refined_high_confidence_functional_hits,db_refined_total_burden,db_refined_mean_burden,db_refined_recommendation,db_refined_decision,db_refined_recommendation_order,db_refined_rank_within_gene,total_hits_req3,mobile_context_hits,plasmid_context_hits,integron_context_hits,sccmec_context_hits,resistance_island_like_hits,operon_proxy_hits,requirement3_mobile_context_burden,requirement3_mobile_context_decision,requirement3_final_decision,requirement3_rank_within_gene,combined_req2_req3_final_decision,combined_req2_req3_decision_order,combined_req2_req3_rank_within_gene,total_hit_rows,direct_plasmid_contig_hits,direct_chromosome_contig_hits,no_fasta_header_match_hits,unclassified_contig_hits,direct_plasmid_hit_fraction,direct_plasmid_mapping_decision,direct_plasmid_evidence_strength,direct_sccmec_marker_hits,direct_sccmec_proxy_context_hits,direct_nearby_sccmec_feature_hits,direct_sccmec_relevant_hits,direct_sccmec_evidence_strength,direct_integron_marker_hits,direct_insertion_sequence_marker_hits,direct_transposon_marker_hits,direct_conjugation_marker_hits,direct_any_mobile_element_marker_hits,direct_mobile_element_evidence_strength
mcr1,mcr1_riskaware_top1,15.0,0.0,0.0,2.0,5.0,5.0,67.0,4.466666666666667,Caution_candidate_elevated_database_refined_burden,USE_WITH_CAUTION,3,1,15,2,0,0,0,2,0,14,Elevated_mobile_context_signal,Caution_elevated_mobile_context,2,FINAL_CAUTION_FUNCTIONAL_OR_MOBILE_CONTEXT,3,1,15,0,15,0,0,0.0,No_direct_plasmid_contig_evidence_detected,No_direct_plasmid_evidence,0,0,0,0,No_direct_SCCmec_like_evidence,0,1,0,0,1,Low_direct_mobile_element_evidence
mcr1,mcr1_riskaware_top3,31.0,8.0,0.0,0.0,18.0,18.0,199.0,6.419354838709677,Avoid_or_deprioritize_high_database_refined_burden,DEPRIORITIZE,4,2,31,0,1,0,0,0,0,3,Moderate_mobile_context_signal,Backup_moderate_mobile_context,1,FINAL_DEPRIORITIZE_HIGH_FUNCTIONAL_BURDEN,5,2,31,1,30,0,0,0.032258064516129,Direct_plasmid_contig_evidence_present,Low_direct_plasmid_evidence_single_hit,0,0,0,0,No_direct_SCCmec_like_evidence,0,0,0,0,0,No_direct_mobile_element_evidence
mcr1,mcr1_riskaware_top2,37.0,10.0,0.0,0.0,0.0,10.0,200.0,5.405405405405405,Avoid_or_deprioritize_high_database_refined_burden,DEPRIORITIZE,4,3,37,2,0,0,0,2,0,14,Elevated_mobile_context_signal,Caution_elevated_mobile_context,3,FINAL_DEPRIORITIZE_HIGH_FUNCTIONAL_BURDEN,5,3,37,0,37,0,0,0.0,No_direct_plasmid_contig_evidence_detected,No_direct_plasmid_evidence,0,0,0,0,No_direct_SCCmec_like_evidence,0,0,0,0,0,No_direct_mobile_element_evidence
mcr1,mcr1_riskaware_top4,276.0,64.0,0.0,41.0,164.0,194.0,1901.0,6.88768115942029,Avoid_or_deprioritize_high_database_refined_burden,DEPRIORITIZE,4,4,276,54,13,0,0,54,0,417,High_mobile_context_signal_review_or_deprioritize,Deprioritize_high_mobile_context,4,FINAL_DEPRIORITIZE_HIGH_FUNCTIONAL_AND_HIGH_MOBILE_CONTEXT,7,4,276,10,266,0,0,0.036231884057971,Direct_plasmid_contig_evidence_present,Moderate_direct_plasmid_evidence,0,0,0,0,No_direct_SCCmec_like_evidence,0,23,3,4,25,Moderate_direct_mobile_element_evidence
mcr1,mcr1_riskaware_top5,533.0,168.0,11.0,54.0,287.0,341.0,3802.0,7.133208255159475,Avoid_or_deprioritize_high_database_refined_burden,DEPRIORITIZE,4,5,533,108,4,0,0,106,0,758,High_mobile_context_signal_review_or_deprioritize,Deprioritize_high_mobile_context,5,FINAL_DEPRIORITIZE_HIGH_FUNCTIONAL_AND_HIGH_MOBILE_CONTEXT,7,5,533,2,529,0,2,0.0037523452157598,Direct_plasmid_contig_evidence_present,Moderate_direct_plasmid_evidence,0,0,0,0,No_direct_SCCmec_like_evidence,0,4,7,0,11,Moderate_direct_mobile_element_evidence
mecA,mecA_riskaware_top2,12.0,0.0,0.0,0.0,0.0,0.0,36.0,3.0,Acceptable_candidate_moderate_database_refined_burden,KEEP_AS_BACKUP,2,1,12,2,0,0,0,2,0,14,Elevated_mobile_context_signal,Caution_elevated_mobile_context,1,FINAL_CAUTION_FUNCTIONAL_OR_MOBILE_CONTEXT,3,1,12,0,12,0,0,0.0,No_direct_plasmid_contig_evidence_detected,No_direct_plasmid_evidence,0,0,0,0,No_direct_SCCmec_like_evidence,0,2,0,0,2,Low_direct_mobile_element_evidence
mecA,mecA_riskaware_top4,14.0,1.0,0.0,1.0,1.0,1.0,50.0,3.571428571428572,Acceptable_candidate_moderate_database_refined_burden,KEEP_AS_BACKUP,2,2,14,3,1,0,0,3,0,24,Elevated_mobile_context_signal,Caution_elevated_mobile_context,2,FINAL_CAUTION_FUNCTIONAL_OR_MOBILE_CONTEXT,3,2,14,1,13,0,0,0.0714285714285714,Direct_plasmid_contig_evidence_present,Low_direct_plasmid_evidence_single_hit,0,0,0,0,No_direct_SCCmec_like_evidence,0,1,0,0,1,Low_direct_mobile_element_evidence
mecA,mecA_riskaware_top5,37.0,0.0,1.0,4.0,4.0,5.0,125.0,3.3783783783783785,Caution_candidate_elevated_database_refined_burden,USE_WITH_CAUTION,3,3,37,19,0,0,0,19,0,133,High_mobile_context_signal_review_or_deprioritize,Deprioritize_high_mobile_context,3,FINAL_DEPRIORITIZE_HIGH_MOBILE_CONTEXT,6,3,37,0,35,0,2,0.0,No_direct_plasmid_contig_evidence_detected,No_direct_plasmid_evidence,0,0,0,0,No_direct_SCCmec_like_evidence,0,3,0,0,3,Low_direct_mobile_element_evidence
mecA,mecA_riskaware_top3,132.0,12.0,6.0,4.0,40.0,43.0,640.0,4.848484848484849,Avoid_or_deprioritize_high_database_refined_burden,DEPRIORITIZE,4,4,132,32,0,0,0,32,0,224,High_mobile_context_signal_review_or_deprioritize,Deprioritize_high_mobile_context,4,FINAL_DEPRIORITIZE_HIGH_FUNCTIONAL_AND_HIGH_MOBILE_CONTEXT,7,4,132,0,129,0,3,0.0,No_direct_plasmid_contig_evidence_detected,No_direct_plasmid_evidence,0,0,0,0,No_direct_SCCmec_like_evidence,0,3,6,0,9,Low_direct_mobile_element_evidence
mecA,mecA_riskaware_top1,659.0,214.0,41.0,44.0,379.0,467.0,4876.0,7.399089529590288,Avoid_or_deprioritize_high_database_refined_burden,DEPRIORITIZE,4,5,659,88,1,0,10,87,0,654,High_mobile_context_signal_review_or_deprioritize,Deprioritize_high_mobile_context,5,FINAL_DEPRIORITIZE_HIGH_FUNCTIONAL_AND_HIGH_MOBILE_CONTEXT,7,5,659,1,658,0,0,0.0015174506828528,Direct_plasmid_contig_evidence_present,Low_direct_plasmid_evidence_single_hit,6,10,10,10,Strong_direct_SCCmec_like_evidence,0,12,20,1,33,Moderate_direct_mobile_element_evidence
