model,target,cv_folds,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1,interpretation
majority_baseline_manual,label_high_priority_by_score_top_quartile,5,0.5862068965517241,0.0,0.5,0.0,0.3695652173913043,0.0,Majority-class baseline without embedding information.
dnabert_logistic_regression_probe,label_high_priority_by_score_top_quartile,5,0.8137931034482758,0.06757213083539801,0.8019607843137255,0.07947225969805317,0.8011367491505208,0.07441379231902177,Frozen DNABERT-2 embedding probe testing whether pretrained sequence representations recover FOTR-derived guide priority.
dnabert_ridge_classifier_probe,label_high_priority_by_score_top_quartile,5,0.8068965517241379,0.07741360110566772,0.7985294117647059,0.08303580102709125,0.7963985107927766,0.08130872576181188,Frozen DNABERT-2 embedding probe testing whether pretrained sequence representations recover FOTR-derived guide priority.
