model,brier_score,log_loss,ece_10_bins,roc_auc,balanced_accuracy_at_0.5,macro_f1_at_0.5
"DNABERT logistic probe, uncalibrated",0.046874599925705494,0.23857178460974587,0.05351766315496023,0.9591013824884793,0.9400921658986175,0.9358151476251604
DNABERT logistic probe + Platt scaling,0.043841534421729694,0.18971192962308656,0.10594578213353067,0.9896313364055299,0.9642857142857143,0.9735449735449735
DNABERT logistic probe + isotonic regression,0.031694674899976044,0.48911141030871585,0.051341070783459224,0.9605414746543779,0.956221198156682,0.9607272727272727
