gene_normalized,amr_class,target_region_bin,guide_count,mean_fotr_priority_score,mean_functional_severity_v1,mean_target_disruption_priority
blaKPC,beta_lactamase_carbapenemase,early_coding_region,11,74.87272727272727,1.0,1.0
blaKPC,beta_lactamase_carbapenemase,middle_coding_region,23,66.44539130434782,0.85,0.85
blaNDM1,metallo_beta_lactamase,early_coding_region,14,79.21571428571428,1.0,1.0
blaNDM1,metallo_beta_lactamase,middle_coding_region,32,81.26,0.85,0.85
mcr1,phosphoethanolamine_transferase,early_coding_region,10,75.90639999999999,0.95,1.0
mcr1,phosphoethanolamine_transferase,middle_coding_region,32,75.4578125,0.8075,0.85
mecA,penicillin_binding_protein,early_coding_region,4,80.62,1.0,1.0
mecA,penicillin_binding_protein,middle_coding_region,19,72.36,0.85,0.85
