task_name,model,evaluation,rows_total,feature_count,resistant_count,susceptible_count,seed,cv_splits,auroc_mean,auroc_std,pr_auc_mean,pr_auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
staphylococcus_aureus,logistic_regression,fixed_5fold_stratified_cv,5023,1572,3010,2013,42,5,0.9873308761010164,0.0034895947419712812,0.9904915187958337,0.004884934331378476,0.9741192444153732,0.004220383055673819,0.9755630034976417,0.0031943037280140335,0.9813953488372092,0.0047451351684669706,0.9784665882108673,0.0035345692672087018
staphylococcus_aureus,random_forest,fixed_5fold_stratified_cv,5023,1572,3010,2013,42,5,0.9900587322900923,0.0034823126776969957,0.991626188520148,0.003312655767406882,0.9747158629164933,0.005893331480732932,0.9771602398982335,0.0046166980830668935,0.9807308970099667,0.005811579961639841,0.9789389880959607,0.004923004249491546
staphylococcus_aureus,xgboost,fixed_5fold_stratified_cv,5023,1572,3010,2013,42,5,0.9895894446795233,0.0037969460162911757,0.992411199240645,0.0038902095791303625,0.9769063051277478,0.004511453958831583,0.9756777821861293,0.004053743632683976,0.9860465116279069,0.0037292266313361648,0.980833523435248,0.0037405679746659024
klebsiella_pneumoniae,logistic_regression,fixed_5fold_stratified_cv,4172,1572,1369,2803,42,5,0.9321679735690578,0.010550281599391597,0.8836551160127035,0.021060731791535264,0.8914208992087767,0.009853533470606843,0.8161098954079617,0.016539637207740723,0.8641426699820862,0.019857190264726404,0.83929667429649,0.014539146901289048
klebsiella_pneumoniae,random_forest,fixed_5fold_stratified_cv,4172,1572,1369,2803,42,5,0.9565896925101519,0.00756760577817423,0.9297813628418143,0.006143418477396118,0.9206622725771478,0.011429680691859286,0.8947492380238365,0.01874716068497839,0.8597764765647977,0.031361896274173316,0.8765294123355659,0.018858473689454265
klebsiella_pneumoniae,xgboost,fixed_5fold_stratified_cv,4172,1572,1369,2803,42,5,0.9572387186545624,0.006779923747719513,0.9349479308349204,0.010409712417097098,0.9189864874567413,0.011391581149578802,0.8967028116462927,0.007871125063057918,0.851020026202508,0.031147567460981483,0.873062385156512,0.01946468760344311
acinetobacter_baumannii,logistic_regression,fixed_5fold_stratified_cv,1394,1572,961,433,42,5,0.9245376601742858,0.019731552035755426,0.9572710009938257,0.015927607119390085,0.8658415203321216,0.0199309059442826,0.9221179313994824,0.023111284038381724,0.8803378670120898,0.018599463136452003,0.9005021567124161,0.014451210668296084
acinetobacter_baumannii,random_forest,fixed_5fold_stratified_cv,1394,1572,961,433,42,5,0.9415177052444577,0.010763313269335405,0.9663541505593148,0.0060917706090638825,0.8995642195920682,0.01092349062141369,0.9126675376755828,0.01094273486974461,0.944856433506045,0.006998961137967355,0.9284517520862476,0.007543405166217495
acinetobacter_baumannii,xgboost,fixed_5fold_stratified_cv,1394,1572,961,433,42,5,0.9418528478855874,0.014831489936718453,0.9662387481741401,0.012036514292244269,0.8988447951316367,0.013547667212382517,0.9085542273025784,0.01350628476358557,0.9490177029360967,0.012470845158383873,0.9282582129679072,0.009487610483134875
escherichia_coli,logistic_regression,fixed_5fold_stratified_cv,789,1572,59,730,42,5,0.939456205894562,0.03463519331721887,0.80963309419989,0.062306892036329414,0.9619930661936629,0.007954872147899346,0.7500366300366299,0.05213400123707229,0.7484848484848484,0.10303030303030304,0.7447552447552448,0.05505312332184021
escherichia_coli,random_forest,fixed_5fold_stratified_cv,789,1572,59,730,42,5,0.9541926110419261,0.039144051444101526,0.8288013902653537,0.10004874338108262,0.9480448278642264,0.006132767015570949,1.0,0.0,0.30606060606060603,0.07067820478600365,0.4643137254901961,0.08065857337839963
escherichia_coli,xgboost,fixed_5fold_stratified_cv,789,1572,59,730,42,5,0.9273557492735576,0.023671531970374457,0.7908645211236888,0.04715746361186977,0.9619769410626461,0.013866731389189974,0.8805555555555555,0.1540602735984672,0.5772727272727273,0.1012320793241822,0.6933333333333334,0.11035296904831235
