species,antibiotic_name,pathogen_drug,total,resistant,susceptible
Pseudomonas aeruginosa,imipenem-relebactam,Pseudomonas aeruginosa + imipenem-relebactam,45,27,18
Pseudomonas aeruginosa,chloramphenicol,Pseudomonas aeruginosa + chloramphenicol,44,43,1
Salmonella enterica,penicillin,Salmonella enterica + penicillin,42,42,0
Acinetobacter baumannii,imipenem-relebactam,Acinetobacter baumannii + imipenem-relebactam,41,37,4
Pseudomonas aeruginosa,penicillin,Pseudomonas aeruginosa + penicillin,41,41,0
Klebsiella pneumoniae,imipenem-relebactam,Klebsiella pneumoniae + imipenem-relebactam,41,20,21
Proteus mirabilis,ampicillin,Proteus mirabilis + ampicillin,40,32,8
Klebsiella pneumoniae,penicillin,Klebsiella pneumoniae + penicillin,39,39,0
Escherichia coli,penicillin,Escherichia coli + penicillin,37,37,0
Proteus mirabilis,meropenem,Proteus mirabilis + meropenem,36,5,31
Serratia marcescens,colistin,Serratia marcescens + colistin,32,32,0
Campylobacter coli,ampicillin,Campylobacter coli + ampicillin,28,4,24
Pseudomonas aeruginosa,fosfomycin,Pseudomonas aeruginosa + fosfomycin,27,5,22
Serratia marcescens,ampicillin,Serratia marcescens + ampicillin,26,24,2
Escherichia coli,aztreonam,Escherichia coli + aztreonam,25,23,2
Escherichia coli,imipenem-relebactam,Escherichia coli + imipenem-relebactam,25,5,20
Enterobacter roggenkampii,meropenem,Enterobacter roggenkampii + meropenem,23,0,23
Proteus mirabilis,imipenem,Proteus mirabilis + imipenem,22,8,14
Acinetobacter baumannii,penicillin,Acinetobacter baumannii + penicillin,22,22,0
Enterococcus faecium,penicillin,Enterococcus faecium + penicillin,22,19,3
Serratia marcescens,imipenem,Serratia marcescens + imipenem,22,12,10
Proteus mirabilis,ertapenem,Proteus mirabilis + ertapenem,21,6,15
Enterobacter hormaechei,imipenem,Enterobacter hormaechei + imipenem,18,10,8
Morganella morganii,ampicillin,Morganella morganii + ampicillin,17,16,1
Enterobacter hormaechei,chloramphenicol,Enterobacter hormaechei + chloramphenicol,17,6,11
Enterobacter cloacae,imipenem-relebactam,Enterobacter cloacae + imipenem-relebactam,15,5,10
Morganella morganii,meropenem,Morganella morganii + meropenem,15,3,12
Morganella morganii,ertapenem,Morganella morganii + ertapenem,14,3,11
Campylobacter coli,chloramphenicol,Campylobacter coli + chloramphenicol,14,2,12
Enterobacter roggenkampii,ampicillin,Enterobacter roggenkampii + ampicillin,14,13,1
Serratia marcescens,doripenem,Serratia marcescens + doripenem,14,6,8
Proteus mirabilis,colistin,Proteus mirabilis + colistin,13,13,0
Enterobacter asburiae,meropenem,Enterobacter asburiae + meropenem,13,6,7
Staphylococcus aureus,ampicillin,Staphylococcus aureus + ampicillin,13,13,0
Shigella boydii,ampicillin,Shigella boydii + ampicillin,12,8,4
Enterobacter roggenkampii,chloramphenicol,Enterobacter roggenkampii + chloramphenicol,12,0,12
Shigella boydii,chloramphenicol,Shigella boydii + chloramphenicol,12,3,9
Enterobacter roggenkampii,imipenem,Enterobacter roggenkampii + imipenem,11,2,9
Enterobacter aerogenes,imipenem,Enterobacter aerogenes + imipenem,11,7,4
Staphylococcus aureus,meropenem,Staphylococcus aureus + meropenem,11,0,11
Klebsiella quasipneumoniae,meropenem,Klebsiella quasipneumoniae + meropenem,10,4,6
Enterobacter kobei,meropenem,Enterobacter kobei + meropenem,10,2,8
Klebsiella quasipneumoniae,ampicillin,Klebsiella quasipneumoniae + ampicillin,10,10,0
Staphylococcus aureus,imipenem,Staphylococcus aureus + imipenem,9,0,9
Enterobacter kobei,ertapenem,Enterobacter kobei + ertapenem,9,7,2
Enterobacter cloacae,chloramphenicol,Enterobacter cloacae + chloramphenicol,9,6,3
Serratia marcescens,chloramphenicol,Serratia marcescens + chloramphenicol,9,9,0
Enterobacter sp.,meropenem,Enterobacter sp. + meropenem,8,2,6
Pseudomonas aeruginosa,amoxicillin,Pseudomonas aeruginosa + amoxicillin,8,8,0
Enterobacter aerogenes,ampicillin,Enterobacter aerogenes + ampicillin,8,8,0
