pathogen_drug,mecA,blaKPC,blaNDM,mcr-1
Escherichia coli + fosfomycin,0.0,0.0,1.0,2.0
Escherichia coli + imipenem,0.0,23.0,70.0,35.0
Escherichia coli + imipenem-relebactam,0.0,5.0,5.0,0.0
Escherichia coli + meropenem,0.0,45.0,79.0,54.0
Escherichia coli + penicillin,0.0,0.0,36.0,0.0
Haemophilus influenzae + ampicillin,0.0,0.0,0.0,0.0
Helicobacter pylori + amoxicillin,0.0,0.0,0.0,0.0
Klebsiella pneumoniae + amoxicillin,0.0,1.0,58.0,0.0
Klebsiella pneumoniae + ampicillin,0.0,1019.0,406.0,2.0
Klebsiella pneumoniae + chloramphenicol,0.0,175.0,69.0,1.0
Klebsiella pneumoniae + colistin,0.0,521.0,264.0,2.0
Klebsiella pneumoniae + doripenem,0.0,209.0,60.0,1.0
Klebsiella pneumoniae + ertapenem,0.0,732.0,402.0,2.0
Klebsiella pneumoniae + fosfomycin,0.0,173.0,47.0,0.0
Klebsiella pneumoniae + imipenem,0.0,979.0,203.0,2.0
Klebsiella pneumoniae + imipenem-relebactam,0.0,16.0,10.0,0.0
Klebsiella pneumoniae + meropenem,0.0,1264.0,502.0,2.0
Klebsiella pneumoniae + penicillin,0.0,1.0,23.0,0.0
Klebsiella quasipneumoniae + ampicillin,0.0,0.0,2.0,0.0
Klebsiella quasipneumoniae + colistin,0.0,0.0,0.0,0.0
Klebsiella quasipneumoniae + ertapenem,0.0,0.0,2.0,0.0
Klebsiella quasipneumoniae + meropenem,0.0,0.0,2.0,0.0
Morganella morganii + ampicillin,0.0,1.0,1.0,0.0
Morganella morganii + colistin,0.0,0.0,0.0,0.0
Morganella morganii + doripenem,0.0,1.0,1.0,0.0
Morganella morganii + ertapenem,0.0,1.0,1.0,0.0
Morganella morganii + imipenem,0.0,1.0,1.0,0.0
Morganella morganii + meropenem,0.0,1.0,0.0,0.0
Mycobacterium tuberculosis + amoxicillin,0.0,0.0,0.0,0.0
Mycobacterium tuberculosis + methicillin,0.0,0.0,0.0,0.0
Mycobacterium tuberculosis + penicillin,0.0,0.0,0.0,0.0
Neisseria gonorrhoeae + penicillin,0.0,0.0,0.0,0.0
Neisseria meningitidis + chloramphenicol,0.0,0.0,0.0,0.0
Neisseria meningitidis + penicillin,0.0,0.0,0.0,0.0
Proteus columbae + ampicillin,0.0,0.0,0.0,0.0
Proteus columbae + ertapenem,0.0,0.0,0.0,0.0
Proteus columbae + meropenem,0.0,0.0,0.0,0.0
Proteus mirabilis + amoxicillin,0.0,0.0,1.0,0.0
Proteus mirabilis + ampicillin,0.0,3.0,2.0,0.0
Proteus mirabilis + chloramphenicol,0.0,0.0,1.0,0.0
Proteus mirabilis + colistin,0.0,3.0,2.0,0.0
Proteus mirabilis + doripenem,0.0,1.0,1.0,0.0
Proteus mirabilis + ertapenem,0.0,1.0,2.0,0.0
Proteus mirabilis + imipenem,0.0,1.0,2.0,0.0
Proteus mirabilis + meropenem,0.0,1.0,2.0,0.0
Proteus mirabilis + penicillin,0.0,0.0,1.0,0.0
Proteus sp. + ampicillin,0.0,0.0,0.0,0.0
Proteus sp. + ertapenem,0.0,0.0,0.0,0.0
Proteus sp. + meropenem,0.0,0.0,0.0,0.0
Proteus terrae + ampicillin,0.0,0.0,0.0,0.0
Proteus terrae + ertapenem,0.0,0.0,0.0,0.0
Proteus terrae + meropenem,0.0,0.0,0.0,0.0
Proteus vulgaris + ampicillin,0.0,0.0,0.0,0.0
Proteus vulgaris + chloramphenicol,0.0,0.0,0.0,0.0
Proteus vulgaris + colistin,0.0,0.0,0.0,0.0
Proteus vulgaris + ertapenem,0.0,0.0,0.0,0.0
Proteus vulgaris + imipenem,0.0,0.0,0.0,0.0
Proteus vulgaris + meropenem,0.0,0.0,0.0,0.0
Providencia rettgeri + ampicillin,0.0,0.0,2.0,0.0
Providencia rettgeri + chloramphenicol,0.0,0.0,0.0,0.0
Providencia rettgeri + colistin,0.0,0.0,1.0,0.0
Providencia rettgeri + doripenem,0.0,0.0,1.0,0.0
Providencia rettgeri + ertapenem,0.0,0.0,2.0,0.0
Providencia rettgeri + fosfomycin,0.0,0.0,1.0,0.0
Providencia rettgeri + imipenem,0.0,0.0,2.0,0.0
Providencia rettgeri + imipenem-relebactam,0.0,0.0,1.0,0.0
Providencia rettgeri + meropenem,0.0,0.0,1.0,0.0
Providencia sp. + meropenem,0.0,0.0,1.0,0.0
Providencia stuartii + ampicillin,0.0,0.0,2.0,0.0
Providencia stuartii + colistin,0.0,0.0,1.0,0.0
Providencia stuartii + doripenem,0.0,0.0,1.0,0.0
Providencia stuartii + ertapenem,0.0,0.0,2.0,0.0
Providencia stuartii + imipenem,0.0,0.0,1.0,0.0
Providencia stuartii + meropenem,0.0,0.0,2.0,0.0
Pseudomonas aeruginosa + amoxicillin,0.0,0.0,0.0,0.0
Pseudomonas aeruginosa + ampicillin,0.0,1.0,11.0,0.0
Pseudomonas aeruginosa + aztreonam,0.0,0.0,0.0,0.0
Pseudomonas aeruginosa + chloramphenicol,0.0,1.0,11.0,0.0
Pseudomonas aeruginosa + colistin,0.0,10.0,7.0,0.0
Pseudomonas aeruginosa + doripenem,0.0,4.0,2.0,0.0
Pseudomonas aeruginosa + ertapenem,0.0,0.0,0.0,0.0
